2014,145500,23.4,1248,74,450000
2014,120000,21.14,1498,103.52,370000
2006,140000,17.7,1497,78,158000
2010,127000,23,1396,90,225000
2007,120000,16.1,1298,88.2,130000
2017,45000,20.14,1197,81.86,440000
2007,175000,17.3,1061,57.5,96000
2001,5000,16.1,796,37,45000
2011,90000,23.59,1364,67.1,350000
2013,169000,20,1399,68.1,200000
2014,68000,19.01,1461,108.45,500000
2005,100000,17.3,993,60,92000
2009,140000,19.3,1248,73.9,280000
2009,90000,18.9,1061,67,180000
2016,40000,18.15,1198,82,400000
2016,70000,24.52,1248,88.5,778000
2012,53000,23,1396,90,500000
2002,80000,19.7,796,46.3,150000
2016,100000,22.54,1396,88.73,680000
2011,100000,21,1461,64.1,174000
2017,50000,25.5,1498,98.6,950000
2015,40000,26.59,1248,74,525000
2012,72000,21.5,1248,88.8,600000
2018,35000,20.3,1199,83.81,500000
2016,45000,21.4,1197,83.1,575000
2017,28000,24.7,796,47.3,275000
2013,70000,18.2,1248,73.8,300000
2009,120000,18.9,1061,67,220000
2018,25000,16.8,796,34.2,254999
2017,70000,24.3,1248,88.5,670000
2012,35000,14,796,35,150000
2018,2388,18.6,1197,81.83,730000
2017,16200,24.3,1248,88.5,650000
2019,10000,33.44,796,40.3,330000
2019,15000,23.95,998,67.1,366000
2019,5000,17,1591,121.3,1149000
2016,42000,20.63,1198,67,150000
2011,60000,13.93,2179,138.03,425000
2012,76000,16.1,796,37,150000
2019,5000,16,1368,160.77,2100000
2018,28900,17.8,1497,117.3,925000
2013,86300,16.8,1497,116.3,425000
2018,23300,18.5,1197,83.14,675000
2018,32600,24.3,1248,88.5,819999
2018,10300,23.95,998,67.05,390000
2014,77000,12.55,2982,168.5,1500000
2013,99000,12.99,2494,100,700000
2014,27800,14.8,2143,120.7,1450000
2015,49800,24.7,1498,98.63,425000
2013,151000,13.5,2477,175.56,1090000
2015,54700,26,1498,98.6,600000
2018,64000,20.65,1462,103.25,850000
2015,63000,27.3,1498,98.6,525000
2016,127700,11.36,2755,171.5,1650000
2016,99000,12.99,2494,100.6,950000
2013,33900,17.68,1968,174.33,1750000
2018,25000,14.28,1798,138.03,1590000
2013,50000,18.53,1968,187.74,1689999
2013,59000,14.84,2143,170,1425000
2011,120000,21.12,1248,88.8,265000
2011,110000,20.36,1197,78.9,190000
2013,60000,21.27,1396,88.76,425000
2015,147000,26.59,1248,74,630000
2017,25000,18.16,1196,86.8,600000
2019,30000,21.4,1197,83.1,650000
2016,40000,22,1498,108.495,540000
2015,135000,25.1,1498,98.6,630000
2018,30000,20.51,998,67,448000
2017,80000,21.66,1498,108.62,500000
2016,70000,24.3,1248,88.5,745000
2019,9850,24.3,1248,88.5,1025000
2011,60000,20.36,1197,78.9,235000
2016,70000,25.2,1248,74,630000
2015,78000,12.55,2982,168.5,1700000
2013,120000,22.9,1248,74,450000
2012,120000,16.02,1373,93.7,450000
2013,170000,20.54,1598,103.6,450000
2016,140000,12.99,2494,100.6,1200000
2015,90000,22.77,1498,98.59,610000
2016,30000,15.71,1998,189,2500000
2017,10000,23.1,998,67.04,484999
2016,49000,19.02,1198,67.05,275000
2016,32000,24.7,796,47.3,315000
2016,38000,24.7,796,47.3,275000
2012,28000,19.81,1086,68.05,290000
2017,32000,14,796,35,280000
2010,44000,26.2,998,58.2,225000
2015,42000,16.47,1198,74,455000
2015,45000,19.81,1086,68.05,351000
2012,12000,15.04,1598,103.6,535000
