1,8450,1710,2003,208500
2,9600,1262,1976,181500
3,11250,1786,2001,223500
4,9550,1717,1915,140000
5,14260,2198,2000,250000
6,14115,1362,1993,143000
7,10084,1694,2004,307000
8,10382,2090,1973,200000
9,6120,1774,1931,129900
10,7420,1077,1939,118000
11,11200,1040,1965,129500
12,11924,2324,2005,345000
13,12968,912,1962,144000
14,10652,1494,2006,279500
15,10920,1253,1960,157000
16,6120,854,1929,132000
17,11241,1004,1970,149000
18,10791,1296,1967,90000
19,13695,1114,2004,159000
20,7560,1339,1958,139000
21,14215,2376,2005,325300
22,7449,1108,1930,139400
23,9742,1795,2002,230000
24,4224,1060,1976,129900
25,8246,1060,1968,154000
26,14230,1600,2007,256300
27,7200,900,1951,134800
28,11478,1704,2007,306000
29,16321,1600,1957,207500
30,6324,520,1927,68500
31,8500,1317,1920,40000
32,8544,1228,1966,149350
33,11049,1234,2007,179900
34,10552,1700,1959,165500
35,7313,1561,2005,277500
36,13418,2452,2004,309000
37,10859,1097,1994,145000
38,8532,1297,1954,153000
39,7922,1057,1953,109000
40,6040,1152,1955,82000
41,8658,1324,1965,160000
42,16905,1328,1959,170000
43,9180,884,1983,144000
44,9200,938,1975,130250
45,7945,1150,1959,141000
46,7658,1752,2005,319900
47,12822,2149,2003,239686
48,11096,1656,2006,249700
49,4456,1452,1920,113000
50,7742,955,1966,127000
51,13869,1470,1997,177000
52,6240,1176,1934,114500
53,8472,816,1963,110000
54,50271,1842,1981,385000
55,7134,1360,1955,130000
56,10175,1425,1964,180500
57,2645,1739,1999,172500
58,11645,1720,2004,196500
59,13682,2945,2006,438780
60,7200,780,1972,124900
61,13072,1158,2004,158000
62,7200,1111,1920,101000
63,6442,1370,2006,202500
64,10300,1710,1921,140000
65,9375,2034,1997,219500
66,9591,2473,2004,317000
67,19900,2207,1970,180000
68,10665,1479,2003,226000
69,4608,747,1945,80000
70,15593,2287,1953,225000
71,13651,2223,1973,244000
72,7599,845,1982,129500
73,10141,1718,1998,185000
74,10200,1086,1954,144900
75,5790,1605,1915,107400
76,1596,988,1973,91000
77,8475,952,1956,135750
78,8635,1285,1948,127000
79,10778,1768,1968,136500
80,10440,1230,1910,110000
81,13000,2142,1968,193500
82,4500,1337,1998,153500
83,10206,1563,2007,245000
84,8892,1065,1960,126500
85,8530,1474,1995,168500
